Company,Region,URL
JNE,Papua Pegunungan,"https://www.google.com/maps/place/JNE/@-4.0898466,138.9347443,17z/data=!4m18!1m9!3m8!1s0x683e6c959364071d:0xbb6c94c3f401ffd1!2sJNE!8m2!3d-4.0898466!4d138.9373192!9m1!1b1!16s%2Fg%2F11hcj3t0pb!3m7!1s0x683e6c959364071d:0xbb6c94c3f401ffd1!8m2!3d-4.0898466!4d138.9373192!9m1!1b1!16s%2Fg%2F11hcj3t0pb?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNE,Papua Selatan,"https://www.google.com/maps/place/JNE+Merauke/@-8.5031872,140.3939937,17z/data=!4m8!3m7!1s0x69b51587f162aceb:0x471b99a6c175344c!8m2!3d-8.5031872!4d140.3988646!9m1!1b1!16s%2Fg%2F11c57c_t44?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNE,Papua Barat Daya,"https://www.google.com/maps/place/JNE+Kantor+Cabang+Sorong/@-0.8774595,131.2565644,17z/data=!4m8!3m7!1s0x2d5bff5aaaaaaaab:0x91978ef273df349d!8m2!3d-0.8774595!4d131.2591393!9m1!1b1!16s%2Fg%2F1ygbb6tdp?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNT,Aceh,"https://www.google.com/maps/place/Head+Office+J%26T+Express+Aceh/@5.5344043,95.3499817,17z/data=!4m8!3m7!1s0x30403973d8cf1a89:0x9cd19b769bd18217!8m2!3d5.5344043!4d95.3499817!9m1!1b1!16s%2Fg%2F11jkfb3qx2?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNT,Sumatera Utara,"https://www.google.com/maps/place/J%26T+EXPRESS/@3.1866329,97.701123,8z/data=!4m8!3m7!1s0x30313043883bea8f:0xc772ba8ad71956cb!8m2!3d3.5651242!4d98.6895642!9m1!1b1!16s%2Fg%2F11bxfjbph_?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNT,Sumatera Barat,"https://www.google.com/maps/place/J%26T+Express+HQ+Padang/@-0.9431178,100.3955865,17z/data=!4m8!3m7!1s0x2fd4c764c2c8b773:0x7a7f6d167a251895!8m2!3d-0.9431232!4d100.4004574!9m1!1b1!16s%2Fg%2F11h0353lrs?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNT,Riau,"https://www.google.com/maps/place/J%26T+Express+Pekanbaru/@0.5357717,101.4492266,17z/data=!4m8!3m7!1s0x31d5ac6c81df84b7:0x24c3d5e7f54a7954!8m2!3d0.5357717!4d101.4492266!9m1!1b1!16s%2Fg%2F11c1vq8mv3?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNT,Jambi,"https://www.google.com/maps/place/J%26T+Pusat+Jambi/@-1.5944315,103.6179833,17z/data=!4m8!3m7!1s0x2e2588d8c23d2f87:0x7dbe236d98267499!8m2!3d-1.5944369!4d103.6205582!9m1!1b1!16s%2Fg%2F11cmmwt9j6?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNT,Bengkulu,"https://www.google.com/maps/place/J%26T+Express+Bengkulu/@-3.8270214,102.3020442,17z/data=!4m8!3m7!1s0x2e36ba62bdfdbd51:0xe09a09874aef7af6!8m2!3d-3.8270214!4d102.3020442!9m1!1b1!16s%2Fg%2F11c54d2_1n?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNT,Lampung,"https://www.google.com/maps/place/J%26T+Express+Bandar+Lampung/@-5.4219493,105.2571907,17z/data=!4m8!3m7!1s0x2e40da4f25708001:0x89feeb3b41c18bb8!8m2!3d-5.4219493!4d105.2571907!9m1!1b1!16s%2Fg%2F11c1s23dmm?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNT,Sumatera Selatan,"https://www.google.com/maps/place/Gudang+J%26T+Exprress+Palembang/@-2.9253955,104.6868803,17z/data=!4m8!3m7!1s0x2e3b74996bd6f097:0xc56be43d06ea8918!8m2!3d-2.9253955!4d104.6868803!9m1!1b1!16s%2Fg%2F11fylv8ly0?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
